AMD Ryzen 5 2600x, AMD, 12000, Процессоры, https://www.dns-shop.ru/product/e7c9fe6e275b3330/processor-amd-ryzen-5-2600x-box/, AM4
AMD Ryzen 7 3700x, AMD, 25000, Процессоры, https://www.dns-shop.ru/product/1b08ec9490d61b80/processor-amd-ryzen-7-3700x-box/, AM4
AMD Ryzen 9 3950x, AMD, 50000, Процессоры, https://www.dns-shop.ru/product/4993baf093193332/processor-amd-ryzen-9-3950x-box/, AM4
Intel Core I9-9900KS, Intel, 60000, Процессоры, https://pc4games.ru/processor-intel-core-i99900ks-oem?ymclid=15878162463583466940600001&frommarket=https://market.yandex.ru/product--protsessor-intel-core-i9-9900ks/623102052?show-uid=15878162401918341734716001, LGA1151
Intel i9_9940x, Intel, 100000, Процессоры, https://www.computeruniverse.net/ru/intel-core-i9-9940x-14-core-14-core-cpu-with-330-ghz-2, LGA2066
MSI Nvidia Geforce GTX 1660, MSI, 17000, Видеокарты, https://www.computeruniverse.net/ru/msi-geforce-gtx-1660-ti-armor-6g-oc-60-gb-oc-high-end-videokarta, 1
ASUS Geforce GTX 1080 Ti, ASUS, 58000, Видеокарты, 1, 1
MSI Nvidia Geforce RTX 2060, MSI, 35000, Видеокарты, https://www.dns-shop.ru/product/40819d8939673332/videokarta-msi-geforce-rtx-2060-ventus-xs-6g-oc-rtx-2060-ventus-xs-6g-oc/, 1
GIGABYTE nVidia GeForce RTX 2070, GIGABYTE, 50000, Видеокарты, https://www.dns-shop.ru/product/8871c8c298963332/videokarta-gigabyte-geforce-rtx-2070-super-aorus-gv-n207saorus-8gc/, 1
GIGABYTE Nvidia GeForce RTX 2080, GIGABYTE, 60000, Видеокарты, https://www.dns-shop.ru/product/397e0eabac2e3332/videokarta-gigabyte-aorus-geforce-rtx-2080-super-gv-n208saorus-8gc/, 1
AEROCOOL KCAS PLUS 600Вт, AEROCOOL, 3300, Блоки питания, https://www.dns-shop.ru/product/19e57a5a0c913330/blok-pitania-aerocool-kcas-plus-600w-kcas-600-plus/, 1
THERMALTAKE Smart BX1 RGB 750Вт, THERMALTAKE, 6000, Блоки питания, https://becompact.ru/tovary/blok-pitaniya-750w-thermaltake-smart-bx1-rgb-ps-spd-0750nnsabe-1/?utm_source=yandex_market&utm_medium=cpc&utm_campaign=price&utm_term=6030246&utm_content=972404&ymclid=15878196458260266116500001, 1
be quite! DARK POWER PRO 11 850W, be quite!, 3900, Блоки питания, https://www.dns-shop.ru/product/a8c203de6b133361/blok-pitania-be-quiet-dark-power-pro-11-850w-bn253/, 1
AEROCOOL Strike-X 1100Вт, AEROCOOL, 10000, Блоки питания, https://ttt.ru/index.php?page=shop.product_details&flypage=shop.flypage&option=com_virtuemart&product_id=384318&category_id=889&utm_source=market&utm_term=384318&ymclid=15878198369346231533700001, 1
be quiet! System Power 9 500W, TITAN, 6900, Блоки питания, https://www.dns-shop.ru/product/a07f7f085a453330/blok-pitania-be-quiet-system-power-9-500w-bn246/, 1
TITAN TTC NK35TZ, TITAN, 1000, Системы охолождения, https://www.citilink.ru/catalog/computers_and_notebooks/parts/coolers/665910/, 1
DEEPCOOL Watercooler GAMMAXX L240T WHITE, DEEPCOOL, 4500, Системы охолождения, https://www.citilink.ru/catalog/computers_and_notebooks/parts/coolers/1170306/?utm_medium=cpc&utm_campaign=+cities-srch-cat-nz-coolers+&utm_source=yandex&utm_content=%7Cc:42341192%7Cg:4112192271%7Cb:8656944957%7Ck:19752196255%7Cst:search%7Ca:no%7Cs:none%7Ct:premium%7Cp:1%7Cr:%7Cdev:desktop&yclid=2227862582219791594, 1
DEEPCOOL Watercooler CASTLE 240 V2, DEEPCOOL, 9000, Системы охолождения, https://www.citilink.ru/catalog/computers_and_notebooks/parts/coolers/1161760/?utm_medium=cpc&utm_campaign=+cities-srch-cat-nz-coolers+&utm_source=yandex&utm_content=%7Cc:42341192%7Cg:4112192255%7Cb:8656944941%7Ck:19752196047%7Cst:search%7Ca:no%7Cs:none%7Ct:premium%7Cp:1%7Cr:%7Cdev:desktop&yclid=2227878805290916010, 1
MSI B450 GAMING PRO CARBON AC, MSI, 6000, Материнские платы, https://www.computeruniverse.net/ru/msi-b450-gaming-pro-carbon-ac, AM4
GIGABYTE B450 AORUS ELITE, GIGABYTE, 8000, Материнские платы, https://www.computeruniverse.net/ru/gigabyte-aorus-b450-elite, AM4
GIGABYTE B365 M AORUS ELITE, GIGABYTE, 7000, Материнские платы, https://www.computeruniverse.net/ru/gigabyte-aorus-elite-b365m-matx, AM4
MSI MPG Z390 GAMING PRO CARBON, GIGABYTE, 140000, Материнские платы, https://www.computeruniverse.net/ru/msi-mpg-z390-gaming-pro-carbon, LGA1151
ASUS ROG STRIX X299-E GAMING, ASUS, 21000, Материнские платы, https://www.computeruniverse.net/ru/asus-rog-strix-x299-e-gaming-ii, LGA2066
SAMSUNG 860 EVO MZ-76E500BW 500Гб, SAMSUNG, 5560, SSD накопители, https://www.citilink.ru/catalog/computers_and_notebooks/hdd/ssd_in/1035004/, 1
KINGSTON A400 SA400S37 480Гб, KINGSTON, 7800, SSD накопители, https://www.computeruniverse.net/ru/kingston-ssd-a400-480gb, 1
SAMSUNG 970 EVO Plus MZ-V7S500BW 500Гб, SAMSUNG, 8950, SSD накопители, https://www.computeruniverse.net/ru/samsung-ssd-970-evo-plus-m2-nvme-retail-version-500gb, 1
AeroCool Shard Black, AeroCool, 2750, Корпуса, https://beru.ru/product/kompiuternyi-korpus-aerocool-shard-black/413274108?offerid=Ktz1XgfcZUoSOj4yqyP9yg&utm_source=market&utm_medium=cpc&utm_term=660546.1121617&utm_content=91028&clid=910&ymclid=15901714509021073759500002, 1
AeroCool Python Black, AeroCool, 4560, Корпуса, https://www.xcom-shop.ru/aerocool_python-g-bk-v1_735383.html?utm_source=ya_market&utm_medium=cpc&utm_campaign=xcomshop_251264_sistemnyy_korpys_dlya_rs_i_servera&utm_content=735383_aerocool_python-g-bk-v1&ymclid=15901749959941948288100001, 1
Zalman i3 Black, Zalman, 3490, Корпуса, https://www.xcom-shop.ru/zalman_i3_639129.html?utm_source=ya_market&utm_medium=cpc&utm_campaign=xcomshop_103972_sistemnyy_korpys_dlya_rs_i_servera&utm_content=639129_zalman_i3&frommarket=https%3A%2F%2F&ymclid=15901765803904991189200001, 1
Zalman Z9 Neo Plus White, Zalman, 5600, Корпуса, https://www.onlinetrade.ru/catalogue/kompyuternye_korpusa-c1323/zalman/korpus_zalman_z9_neo_plus_white_black_atx_window-945951.html?utm_source=market.yandex.ru&utm_medium=cpc&city=41&ymclid=15901770548605163564800002, 1
Corsair CMW16GX4M2C3000C15W, Corsair, 10800, Оперативная память, https://www.onlinetrade.ru/catalogue/operativnaya_pamyat-c341/corsair/operativnaya_pamyat_corsair_ddr4_16gb_2x8gb_3000mhz_pc_24000_vengeance_pro_rgb_white_cmw16gx4m2c3000c15w-1616259.html?utm_source=market.yandex.ru&utm_medium=cpc&city=41&ymclid=15901776631350061784000001, 1
G.SKILL F4-3000C16D-16GISB, G.SKILL, 6240, Оперативная память, https://www.xcom-shop.ru/gskill_f4-3000c16d-16gisb_689084.html?utm_source=ya_market&utm_medium=cpc&utm_campaign=xcomshop_539473_modyl_pamyati&utm_content=689084_gskill_f4-3000c16d-16gisb&ymclid=15901788182624022649800002, 1
HyperX HX432C16FB3K2, HyperX, 7580, Оперативная память, https://www.xcom-shop.ru/kingston_hx432c16fb3k216_732327.html?utm_source=ya_market&utm_medium=cpc&utm_campaign=xcomshop_539473_modyl_pamyati&utm_content=732327_kingston_hx432c16fb3k216&ymclid=15901791293298478290500001, 1
Western Digital WD Blue 1 TB (WD10EZEX), Western Digital, 3100, HDD накопители, https://www.xcom-shop.ru/western_digital_wd10ezex_266973.html?utm_source=ya_market&utm_medium=cpc&utm_campaign=xcomshop_19623_zhestkiy_disk&utm_content=266973_western_digital_wd10ezex&frommarket=&ymclid=15902232499823040627800004, 1
Western Digital WD Blue Desktop 2 TB (WD20EZRZ), Western Digital, 4490, HDD накопители, https://www.citilink.ru/catalog/computers_and_notebooks/hdd/hdd_in/318866/?utm_source=xml_ymarket_ulyanovsk&utm_content=318866&utm_campaign=PC&utm_medium=cpc&mrkt=uln_cl&utm_term=32_WD_WD20EZRZ&ymclid=15902242738909974856700001, 1
Seagate ST2000DM005, Seagate, 4490, HDD накопители, https://www.citilink.ru/catalog/computers_and_notebooks/hdd/hdd_in/1076646/?utm_source=xml_ymarket_ulyanovsk&utm_content=1076646&utm_campaign=PC&utm_medium=cpc&mrkt=uln_cl&utm_term=32_SEAGATE_ST2000DM005&ymclid=15902250810208732911500003, 1
Western Digital WD Blue Desktop 4 TB (WD40EZRZ), Western Digital, 7890, HDD накопители, https://www.citilink.ru/catalog/computers_and_notebooks/hdd/hdd_in/318864/?utm_source=xml_ymarket_ulyanovsk&utm_content=318864&utm_campaign=PC&utm_medium=cpc&mrkt=uln_cl&utm_term=32_WD_WD40EZRZ&ymclid=15902256803005777136200004, 1
